trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.4, 'e': 0.536268225207185}",20,0,-60.8774126787206,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.5309055429551132}",20,5,13.46298795816125,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.525596487525562}",30,0,-102.9045624031342,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.5203405226503064}",20,0,-57.32185938496055,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.5151371174238033}",20,3,-40.88899171872576,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
67,False,"{'a': 0.4, 'e': 0.5099857462495653}",30,15,13.576048466509715,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.5048858887870696}",20,0,14.01914755300244,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.4998370298991989}",20,0,-56.8907065047375,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.49483865960020695}",20,0,-153.1065076943341,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
71,False,"{'a': 0.4, 'e': 0.4898902730042049}",25,5,17.163489686699556,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.48499137027416284}",20,0,-12.290110799093771,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.4801414565714212}",25,15,-0.5982139157038144,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.47534004200570695}",20,9,-27.07222300508856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.4, 'e': 0.4705866415856499}",35,15,-24.486572084817777,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.4, 'e': 0.46588077516979337}",20,8,7.882886989772704,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.46122196741809546}",25,5,-10.922853481083695,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.4566097477439145}",20,0,-74.64557066496269,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.45204365026647536}",25,0,-10.013030081409175,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.4475232137638106}",20,15,-10.24050487949725,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.4430479816261725}",25,16,-23.062787286649296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.4, 'e': 0.43861750180991077}",25,3,-69.11497451370823,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 1}",1
83,False,"{'a': 0.4, 'e': 0.43423132679181164}",30,6,-12.154212957448802,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.4298890135238935}",30,0,-25.170825339512028,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.4255901233886546}",30,13,11.912020400652843,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.421334222154768}",30,10,-10.597413435563885,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.41712087993322033}",20,1,-22.850999115972225,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.4, 'e': 0.41294967113388814}",30,21,9.44051218677737,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.40882017442254925}",20,2,24.41152803260065,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.4047319726783238}",30,22,12.771110158561171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.40068465295154054}",25,8,-35.57692699162007,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.4, 'e': 0.3966778064220251}",25,8,-0.5754806631584772,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.39271102835780486}",20,2,-60.291331391638906,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.4, 'e': 0.3887839180742268}",25,12,13.76289039412301,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.38489607889348454}",20,2,-59.479402391179846,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
96,False,"{'a': 0.4, 'e': 0.38104711810454966}",20,0,-56.27703384074111,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
97,False,"{'a': 0.4, 'e': 0.37723664692350417}",25,19,0.31223315993109235,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.37346428045426916}",20,3,-1.0367445217783167,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.4, 'e': 0.36972963764972644}",25,0,-21.92470473516963,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.4, 'e': 0.3660323412732292}",25,15,10.095743853135033,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.3623720178604969}",25,7,0.8365489629284295,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.3587482976818919}",20,13,-8.361909379547146,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.355160814705073}",25,18,10.866592601565069,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.35160920655802225}",20,11,18.712368522688738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.348093114492442}",20,0,-61.10994987018968,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
106,False,"{'a': 0.4, 'e': 0.3446121833475176}",25,19,10.044154103463162,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.34116606151404244}",25,5,11.784820029492021,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.337754400898902}",30,2,-97.00024482213222,"{0: 21, 1: 1, 2: 2, 3: 3, 4: 1}",1
109,False,"{'a': 0.4, 'e': 0.334376856889913}",30,2,-23.44763735864782,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.4, 'e': 0.33103308832101386}",25,0,-6.217863359888407,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
111,False,"{'a': 0.4, 'e': 0.3277227574378037}",20,9,18.56991176889683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.3244455298634257}",25,17,10.46164801779712,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.3212010745647914}",20,5,-3.7187228999418833,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.3179890638191435}",20,6,8.796168559733466,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.4, 'e': 0.31480917318095203}",20,1,-39.24589636349634,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.4, 'e': 0.3116610814491425}",20,9,10.559390158896846,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.30854447063465107}",20,10,12.269142064662478,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.3054590259283046}",20,13,11.162465393773616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.30240443566902153}",30,8,15.52256447071722,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.2993803913123313}",35,7,15.626501484231008,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.296386587399208}",20,5,-16.841577978318803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.4, 'e': 0.2934227215252159}",25,10,20.53401706873437,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.4, 'e': 0.29048849430996376}",25,5,-26.775803027136234,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.4, 'e': 0.2875836093668641}",30,18,7.871346291586476,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.4, 'e': 0.28470777327319546}",20,15,8.067959344224874,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.4, 'e': 0.2818606955404635}",20,15,-0.30337682872630967,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.27904208858505886}",35,13,-24.887677510464755,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.4, 'e': 0.2762516676992083}",25,11,21.409317265840084,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.2734891510222162}",25,0,35.22820875994258,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.4, 'e': 0.27075425951199406}",20,1,-8.807558980249063,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.2680467169168741}",20,0,-65.69149690720366,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
132,False,"{'a': 0.4, 'e': 0.26536624974770534}",30,0,-99.37037098783162,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
133,False,"{'a': 0.4, 'e': 0.2627125872502283}",20,15,-0.20350684508361971,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.26008546137772603}",30,17,-36.554594013138164,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.4, 'e': 0.25748460676394874}",20,12,13.943954725197932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4, 'e': 0.2549097606963093}",25,0,26.74324685144565,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.4, 'e': 0.2523606630893462}",25,0,-4.622299413371321,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
138,False,"{'a': 0.4, 'e': 0.2498370564584527}",20,3,6.702289171782072,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.4, 'e': 0.24733868589386818}",25,15,10.28490948427784,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.4, 'e': 0.24486529903492948}",20,10,-34.31836112353951,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.4, 'e': 0.2424166460445802}",25,13,15.558720648481469,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': 0.2399924795841344}",25,11,-11.225430245378284,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.4, 'e': 0.23759255478829303}",20,8,12.216965349751987,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.23521662924041012}",20,13,13.30013478287989,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4, 'e': 0.232864462948006}",20,8,-36.52366576631498,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.4, 'e': 0.23053581831852593}",25,14,7.821316995658013,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': 0.22823046013534068}",30,4,4.984572563520816,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.22594815553398728}",20,9,-18.688874106945164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.4, 'e': 0.2236886739786474}",20,1,3.215578543794466,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.22145178723886091}",25,6,29.04668884645744,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.2192372693664723}",20,4,4.677414013140514,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.4, 'e': 0.21704489667280757}",20,9,9.15839605706893,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.2148744477060795}",20,0,-30.228947677036125,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
154,False,"{'a': 0.4, 'e': 0.2127257032290187}",30,0,31.858429768726086,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.4, 'e': 0.21059844619672852}",35,21,24.795590197597967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.20849246173476124}",20,16,6.308591623734889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.2064075371174136}",30,16,27.757701862863307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.4, 'e': 0.20434346174623946}",25,7,32.579024864134574,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.2023000271287771}",20,5,24.084838658877548,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.4, 'e': 0.20027702685748933}",25,17,11.26750736202267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.19827425658891443}",20,0,-10.306527653720174,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.4, 'e': 0.19629151402302528}",25,3,-9.963600547460203,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.19432859888279502}",20,0,31.070696309750804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.4, 'e': 0.19238531289396707}",20,8,24.595132982530423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.1904614597650274}",35,15,22.368296701801846,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.1885568451673771}",25,9,18.841742589436578,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.18667127671570335}",20,12,-0.7775762636414085,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.1848045639485463}",30,3,-28.121887239240937,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 0.4, 'e': 0.18295651830906084}",20,3,5.588806494066028,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.18112695312597024}",25,7,34.438500876662005,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4, 'e': 0.17931568359471053}",25,11,22.004872303018324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.17752252675876343}",20,15,7.374510206508828,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.1757473014911758}",20,12,0.5724081215793964,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.17398982847626404}",25,0,19.743488276854347,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.4, 'e': 0.1722499301915014}",35,21,17.523189056842668,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.17052743088958636}",25,11,16.53950348122105,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.1688221565806905}",20,8,23.37031357651496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.1671339350148836}",20,12,13.325403075182544,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.16546259566473476}",25,14,-43.73564164969405,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
180,False,"{'a': 0.4, 'e': 0.16380796970808742}",25,15,-3.51515221821993,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.16216989001100654}",20,10,-21.72586152896144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.4, 'e': 0.16054819111089647}",35,20,-16.656502006821146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.4, 'e': 0.1589427091997875}",20,15,7.00569827047164,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.15735328210778962}",20,9,-1.5000191874949278,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
185,False,"{'a': 0.4, 'e': 0.15577974928671173}",30,19,22.70949655608634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.4, 'e': 0.15422195179384462}",30,10,-11.500568419097497,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.4, 'e': 0.15267973227590617}",20,12,7.273289767881445,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
