trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
230,False,"{'a': 0.4, 'e': 0.09910481551887466}",25,13,13.75161889418726,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.4, 'e': 0.0981137673636859}",25,8,33.4272681945689,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.4, 'e': 0.09713262969004906}",35,15,-8.525950290093528,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
233,False,"{'a': 0.4, 'e': 0.09616130339314856}",20,0,20.091702573639598,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
234,False,"{'a': 0.4, 'e': 0.09519969035921708}",25,19,10.18822400607246,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.4, 'e': 0.0942476934556249}",20,2,29.02449955518735,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.4, 'e': 0.09330521652106866}",20,3,31.838409745627683,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.4, 'e': 0.09237216435585796}",20,5,22.730608356955898,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.4, 'e': 0.09144844271229938}",20,12,13.566309553038737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.4, 'e': 0.0905339582851764}",20,2,17.554979797744892,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.4, 'e': 0.08962861870232462}",20,13,11.033566549382538,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.4, 'e': 0.08873233251530138}",30,17,11.24813662213294,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.4, 'e': 0.08784500919014836}",30,15,29.314629935748385,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.4, 'e': 0.08696655909824688}",25,10,23.366456360534798,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.4, 'e': 0.0860968935072644}",25,19,-1.6025539721812625,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.4, 'e': 0.08523592457219176}",25,16,14.503946394587667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.4, 'e': 0.08438356532646984}",25,14,17.691731663860324,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.4, 'e': 0.08353972967320515}",25,6,-21.017214971503698,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.4, 'e': 0.0827043323764731}",20,10,19.356719536748766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.4, 'e': 0.08187728905270836}",20,14,12.92923090866357,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.4, 'e': 0.08105851616218128}",25,15,14.04345643504243,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.4, 'e': 0.08024793100055946}",20,14,12.979744197733599,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.4, 'e': 0.07944545169055386}",25,12,-12.483374408372974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
253,False,"{'a': 0.4, 'e': 0.07865099717364833}",30,9,-20.368100677433073,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.4, 'e': 0.07786448720191184}",30,18,24.85071189660802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.4, 'e': 0.07708584232989273}",20,1,30.442805099540355,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.4, 'e': 0.0763149839065938}",25,17,16.60605879257265,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.4, 'e': 0.07555183406752786}",25,14,-6.880028412340159,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
258,False,"{'a': 0.4, 'e': 0.07479631572685258}",20,8,-2.9957229844267452,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
259,False,"{'a': 0.4, 'e': 0.07404835256958406}",20,14,9.021291863466443,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.4, 'e': 0.07330786904388821}",30,17,20.31663433500415,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.4, 'e': 0.07257479035344933}",30,16,-31.430103471999978,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
262,False,"{'a': 0.4, 'e': 0.07184904244991484}",20,9,20.29421294770599,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.4, 'e': 0.07113055202541568}",20,12,6.286919819835609,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.4, 'e': 0.07041924650516153}",20,10,7.838590509870682,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.4, 'e': 0.06971505404010991}",25,20,10.667094775809929,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
